Symbol,Name,Last Price,Market Time,Change,% Change,Volume,Market Cap
CVNA,Carvana Co.,116.79,10:23AM EDT,+29.70,+34.10%,10.26M,20.742B
QCOM,QUALCOMM Incorporated,178.83,10:23AM EDT,+14.72,+8.97%,8.488M,199.574B
PTON,"Peloton Interactive, Inc.",2.9700,10:23AM EDT,-0.2500,-7.76%,20.24M,1.09B
FSLY,"Fastly, Inc.",8.24,10:23AM EDT,-4.69,-36.23%,12.228M,1.126B
MRNA,"Moderna, Inc.",119.35,10:23AM EDT,+7.89,+7.07%,2.806M,45.697B
NVO,Novo Nordisk A/S,126.38,10:23AM EDT,-2.83,-2.19%,3.245M,565.869B
ETSY,"Etsy, Inc.",58.17,10:23AM EDT,-11.57,-16.59%,6.617M,6.823B
AC.TO,Air Canada,18.77,10:23AM EDT,-1.69,-8.26%,3.456M,6.728B
AAPL,Apple Inc.,171.58,10:23AM EDT,+2.28,+1.35%,15.927M,2.65T
ALLR,"Allarity Therapeutics, Inc.",1.8800,10:23AM EDT,+0.5100,+37.23%,61.989M,3.659M
ENVX,Enovix Corporation,8.28,10:23AM EDT,+1.77,+27.19%,7.42M,1.407B
BABA,Alibaba Group Holding Limited,77.97,10:23AM EDT,+2.46,+3.26%,5.691M,191.057B
W,Wayfair Inc.,56.13,10:23AM EDT,+5.60,+11.09%,5.339M,6.76B
DASH,"DoorDash, Inc.",110.89,10:23AM EDT,-16.57,-13.00%,7.492M,45.342B
EBS,Emergent BioSolutions Inc.,3.6188,10:23AM EDT,+1.6888,+87.45%,50.268M,189.592M
PENN,"PENN Entertainment, Inc.",14.41,10:23AM EDT,-2.03,-12.35%,8.545M,2.197B
XPEV,XPeng Inc.,8.65,10:23AM EDT,+0.53,+6.53%,6.701M,8.16B
SWK,"Stanley Black & Decker, Inc.",84.32,10:23AM EDT,-7.58,-8.25%,2.337M,12.969B
FRSH,Freshworks Inc.,13.56,10:23AM EDT,-4.69,-25.67%,8.581M,4.053B
CAR,"Avis Budget Group, Inc.",111.73,10:23AM EDT,+16.98,+17.92%,"655,480",3.983B
BIDU,"Baidu, Inc.",108.34,10:23AM EDT,+4.02,+3.85%,1.734M,38.976B
LI,Li Auto Inc.,28.37,10:23AM EDT,+2.02,+7.66%,5.544M,28.406B
LIN,Linde plc,419.64,10:23AM EDT,-22.98,-5.19%,1.13M,201.728B
BCE.TO,BCE Inc.,44.70,10:23AM EDT,-1.06,-2.32%,1.506M,40.779B
WOLF,"Wolfspeed, Inc.",21.13,10:23AM EDT,-4.98,-19.07%,4.394M,2.658B
APPN,Appian Corporation,29.31,10:23AM EDT,-7.42,-20.18%,"622,848",2.117B
JD,"JD.com, Inc.",31.12,10:23AM EDT,+1.85,+6.31%,3.788M,47.742B
APVO,Aptevo Therapeutics Inc.,1.1882,10:23AM EDT,+0.2282,+23.77%,18.427M,4.27M
PAYC,"Paycom Software, Inc.",164.26,10:23AM EDT,-21.99,-11.81%,"737,440",9.551B
PDD,PDD Holdings Inc.,132.41,10:23AM EDT,+7.92,+6.36%,6.776M,183.887B
