artist,album_title,price,album_release,year_release,type_release,label,country
Various,The Most Collection Volume...,4500,1971,1971,LP,Music For Pleasure,UK
Кино,Le Dernier Des Héros,7500,1989,2023,2LP,Maschina Records,Russia
30 Seconds To Mars,It's The End...,6500,2023,2023,LP,Concord Records,Europe
Tokyo,Tokyo,3500,1981,1981,LP,Telefunken,Germany
Кино,Ночь,4900,1986,2017,LP,Moroz Records,Russia
Kings Of Leon,Day Old Belgian Blues...,4800,2006,2019,LP,RCA,Europe
30 Seconds To Mars,This Is War,8500,2009,2022,LP,Virgin,Europe
Cardigans,Life,4800,1995,2019,LP,Stockholm Records,Europe
Воскресение,Радуюсь (1982-1983),5000,1994,2022,LP,Отделение ВЫХОД,Russia
Kings Of Leon,WALLS,4800,2016,2016,LP,RCA,Europe
Sirkel & Co,With Special Guest...,4500,1976,1976,LP,Charly Records,UK
Various,50's And 60's Dance Party...,3500,1983,1983,2LP,HEP,Netherlands
30 Seconds To Mars,30 Seconds To...,6500,2002,2016,LP,Universal Music Group,Europe
Old 97's,Fight Songs,5500,1999,2021,3LP,Elektra,Europe
30 Seconds To Mars,America,4900,2018,2018,LP,Interscope Records,Europe
Rustix,Come On People,4000,1970,1970,LP,Rare Earth,USA
Кино,Звезда По Имени Солнце (кассета)...,1500,1989,2019,Music Cassette,Maschina Records,Russia
Би-2,Нечетный Воин 5,5500,2024,2024,2LP,M2,Russia
Various,Music From Free Creek,4500,1973,1973,2LP,Charisma,UK
Various,Solid Gold Rocking Music...,4500,1972,1972,2LP,Double Gold,UK
30 Seconds To Mars,It's The End...,6500,2023,2023,LP,Concord Records,Europe
Fast Forward,Living In Fiction,2500,1984,1984,LP,Island Records,Canada
ДДТ,Хали Гали Галя Ходи,6500,2018,2021,2LP,Imagine Club,Russia
Kings Of Leon,Only By The Night,5000,2008,2015,2LP,RCA,Europe
Кино,Любовь - Это Не Шутка,7000,2020,2020,LP,Maschina Records,Russia
