id,title,publication_date,url
1,Игровой ноутбук за 15000 рублей. Это вообще законно? Тянет всё!,14 мая 2024,https://yandex.ru/video/preview/1302796038982743858?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
2,Презентация серии Huawei Pura 70 с Wylsacom. Выигрывай флагманскую серию! Начало в 19:00 по МСК!,13 мая 2024,https://yandex.ru/video/preview/3288889910300978609?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
3,"Apple делает iPhone 17 Slim, разоблачение новых iPad и Pixel 8a – лучший смартфон Google",12 мая 2024,https://yandex.ru/video/preview/11849042289544793472?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
4,Nastya and a new police chase with her partner,26 апр 2024,https://yandex.ru/video/preview/10568095811980250048?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
5,Nastya and a story about camping rules,10 мая 2024,https://yandex.ru/video/preview/10886001032609721063?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
6,Самый легкий ноутбук против чипсов MateBook X Pro vs. MacBook Air,14 мая 2024,https://yandex.ru/video/preview/10936172778761117332?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
7,Быстрые лайфхаки для macOS,11 мая 2024,https://yandex.ru/video/preview/10054969040852117779?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
8,Лунтик | День Земли 🌍🌎🌏 Сборник мультиков для детей,20 янв 2024,https://yandex.ru/video/preview/18025004207430862665?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
9,Все через *опу (A Difficult Game About Climbing),30 апр 2024,https://yandex.ru/video/preview/17550620245314872735?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
10,Лунтик | Грязнули | Сборник мультиков для детей,14 мая 2024,https://yandex.ru/video/preview/9440872365375449127?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
11,Меня унижают на камеру (Content Warning),19 апр 2024,https://yandex.ru/video/preview/4761475944838623457?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
12,Звериный спорт (Party Animals),6 апр 2024,https://yandex.ru/video/preview/10544541063502969491?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
13,Я так и не стал полезным (RoboCop: Rogue City),15 мар 2024,https://yandex.ru/video/preview/4669430683567639065?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
14,Звездный Треш (Helldivers 2),29 мар 2024,https://yandex.ru/video/preview/15311430943657048166?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
15,Лунтик | Возвращение домой | Тизер-трейлер,2 апр 2024,https://yandex.ru/video/preview/18144455012503330364?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
16,Лунтик | Подводный балет | Shorts,26 апр 2024,https://yandex.ru/video/preview/1773559442845761617?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
17,Trending dance by Nastya and Evelyn,17 сен 2019,https://yandex.ru/video/preview/12694432862450104564?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
18,"Статьи, новости и видео от популярных блогеров и СМИ | Будь в теме — будь в Дзене",20 апр 2024,https://yandex.ru/video/preview/9019914691484848556?source=main_redirect&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
19,Попробуй не Сказать ВАУ Челлендж !,12 дек 2022,https://yandex.ru/video/preview/15663893307045954749?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
20,От Деревенскои до Городскои за 100 часов !,14 фев 2024,https://yandex.ru/video/preview/16067621028864459931?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
21,Типы Братьев и Сестер !,12 фев 2024,https://yandex.ru/video/preview/5821118374554957172?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
22,"Большая, Средняя или Маленькая Пачка Челлендж !",2 фев 2024,https://yandex.ru/video/preview/14717036461624673422?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
23,Экстремальные Пранки над Другом Челлендж !,20 сен 2023,https://yandex.ru/video/preview/14977067126781471234?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
24,Реакции на Гаджеты Будущего !,4 окт 2023,https://yandex.ru/video/preview/1535519158238889962?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
25,Экстремальные Прятки со Скотчем !,29 янв 2024,https://yandex.ru/video/preview/9299568646395507616?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
26,"50 Самых Жутких Призраков, Снятых На Камеру | Мегаподборка ч.2",24 мар 2022,https://yandex.ru/video/preview/5437103087455249423?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
27,130 Самых Пугающих Видео в Мире | Мегаподборка ч.3,30 дек 2021,https://yandex.ru/video/preview/17444947228226774577?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
28,ТОРТ или Реальныи Предмет Челлендж !,31 авг 2021,https://yandex.ru/video/preview/16609083944369138148?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
29,Кто Выкопает ЯМУ Глубже Челлендж !,22 июл 2023,https://yandex.ru/video/preview/14493420821556139210?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
30,Самые Везучие ЛЮДИ в Мире !,9 янв 2023,https://yandex.ru/video/preview/12326459293122225985?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
31,Самые страшные и интересные места на гугл картах! *я в шоке,12 фев 2023,https://yandex.ru/video/preview/3093062130943524783?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
32,Кто Последний Выберется из Снежного Круга Челлендж !,28 дек 2022,https://yandex.ru/video/preview/11324608043582069522?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
33,"200 невероятных моментов, снятых на камеру. лучшее за месяц",6 мар 2022,https://yandex.ru/video/preview/14249171638891911886?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
34,Пауза Челлендж в Школе !,10 апр 2023,https://yandex.ru/video/preview/12255326431515165873?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
35,100 ледяных кнопок и только одна тебя спасет !,1 сен 2021,https://yandex.ru/video/preview/4340444721991350672?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
36,Покупаем все одного цвета челлендж !,23 ноя 2022,https://yandex.ru/video/preview/16328245377104685734?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
37,24 Часа в Зоопарке Челлендж !,9 ноя 2022,https://yandex.ru/video/preview/398425296752711999?parent-reqid=&text=%D0%B2%D0%B8%D0%B4%D0%B5%D0%BE
