,Review,sentiment_label
0,"Это мой первый опыт эксплуатации смартфона, раньше пользовалась обычным телефоном. По началу было сложновато, так как все по другому, потихонечку привыкла. Через недельку использования докупила чехол, так как задняя крышка совсем не устойчива к царапинам, однако внешний вид от данного приобретения ни как не пострадал, а скорее всего выиграл! Еще через неделю поняла, что надо расширить внутреннюю память, благо имеется слот для microSDкарты. Приобрела флешку на 32 ГБ - все стало совсем хорошо!). Очень понравилась функция центральной кнопки - она работает как индикатор, загорается разными цветами, в зависимости от пропущенного звонка, сообщения, будильника и т.д.(очччень удобно, особенно в ночное время)! Первое время искала, как включается подсветка нижних кнопок, так как не совсем удобно использовать их при плохом освещении, часто промахивалась), выяснила что никак(. Со временем к этому нюансу привыкла. В целом впечатления от аппарата очень хорошие, на четверку с плюсом! Не могу сказать, что он идеален, но мне, как новичку в использовании смартфона в самый раз, даже за глаза!:-). Все гармонично, пользуюсь активно интернетом, ничего не тормозит, приложений куча, выбирай - не хочу! Камера 8Мп вполне способна делать приличные снимки, да и аккумуляторная батарея в 2460мАч подстрахует, если что!). Ну и, конечно же, стоимость LG Optimus L7 II P713 по сравнению с другими моделям со схожими характеристиками явно выигрывает. Считаю, что данная модель подходит как для новичков, так и для продвинутых пользователей смартфонов! Хороший аппарат, советую всем!",positive
1,"Увы, главную детскую болезнь за все время выпуска так и не вылечили. Очень жалко, чрезвычайно симпатичный и оригинальный аппарат.",negative
2,"Не когда не писал отзыв, но сегодня он меня довел, может конечно много хочу, но он просто ужас. До этого был zte в том же диапазоне цены, но робил, а это чудо техники просто висит. На морозе кстати вырубается. Вообщем ни кому не советую!!!",negative
3,"Некоторые отзывы на ЯМ не достойны внимания - обратите внимание, люди взяли на тест аппарат из рук производителя, и хвалят, поиграв сутки: спроси их, заплатили бы 12000 за это, что они скажут? Если мне дать поиграть колечко золотое за 100000 я тоже скажу, хорошее, но мне то зачем, не куплю? Такое ощущение, что довольные или переходят с мелких нокий на ВФ7, или сидели на тексетах и планшетах за 3000 из гипермаркета. Ощущения после асус фон педа за 10000, кстати, это далеко не элит класс, это дешевле люмии!, как будто мне дали китайскую подделку под телефон 2010 года. Вы покупаете платформу, которая проигрывает со счетом 1 к 33. Вы подписываетесь на не просто отстающего, вы делаете ставку на лошадь не просто пятую, а в тридцать три раза отстающую от лидера. Маргинальную. Кто еще думает, не покупайте, возьмите у друзей попробовать, только так. К сожалению, аппарат без брака, и его не вернуть. Впервые в жизни мечтаешь о том, чтобы обнаружился брак.

UPD через 2 месяца (продать не смог за 2/3 цены) вылезла проблема описанная на форумах - желтое пятно под часами, появляющееся просто при активности экрана через минуты, без всяких игр или нестандартных приложений. В сервис, надеюсь, экраны не меняют и всем подряд, и они есть.",neutral
4,"в целом,покупкой довольна,берите,цена все маленькие недочеты покрывает!)))))",positive
5,"Будучи преданным пользователем телефонов Nokia (и супер простого, и флагмана своего времени Nokia N97), решила свою отслужившую верную службу Lumia 520 заменить на что-нибудь более быстрое. Попробовала тест-драйв, т.к. выбирала между 640 и 640 XL. Результат в пользу меньшей модели, НО лишь из-за крупных габаритов (а вот мужчинам наоборот, рекомендую Luima 640 XL, т.к. по общим характеристикам она лучше).",neutral
6,"В целом хорошо да и недорого всего лишь 4590, за такую цену смартфон отличен. И еще раз повторю ну очень он красив и симпатичен)",positive
7,"Брал евротест за 18500 чёрный 32 гига. В комплекте наушники LG quadbeat 2 с гарнитурой нормального качества(сравнивал с sennheiser CX 300ii). Сборка на отлично. Курьер из магазина(Андрей) показал как пользоваться ,,купольной панорамой,, в камере-никогда бы не подумал что в такое возможно в телефоне!
            Вообще телефон вызывает восторженные впечатления, особенно при переходе с HTC Wildfire S",positive
8,"Хотелось бы более умного энергосбержения или 8000 мА

Хотелось  исправить  ускоренную зарядку.
Разогревал  процессор до 55-59 градусов при максимальных нагрузках в руке было жарковато.

 Игрушки: 
Вначале не хотел запускать Hitman Sniper.Сбрасывал. 
С раза 5-го , о чудо-он запустился. 
Я мог играться в это чудо периодически).
Вайбер  из спящего режима может прислать уведомление, а клиент ВК ( Катэ мобайл) не хочет.",neutral
9,Телефон отличный) всем советую особенно в золотом круто смотрится,positive
10,"Пользовался айфоном четыре года ,отличный телефон , не жалуюсь )). LG никогда не воспринимал как телефон , но когда этот аппарат попал мне в руки , я полностью пересмотрел свое мнение. Супер цена-качество !",positive
11,"Смартфон понравился, подробности написал выше.Вот что касаемо перезагрузок, у меня их не было с ""коробки"". Дело в том, что нужно обновить смартфон до последней версии Android, в ней эту ошибку исправили. Всё-таки перезагрузки вызваны программным сбоем. Многие написали на форуме 4пда, что им помогло обновление. Так что, пробуйте. Сам же проблем никаких с аппаратом не испытываю. Все устраивает.",neutral
12,"Пользуюсь телефоном более 2-х лет, телефон как ""пластилин"",т.е. тот кто заморачиваеться программами, прошивками и играми телефон для вас! Ставил множество прошивок и вернулся к родной и самой стабильной 2.3.Игрушки тянет на раз-два, аккумулятор стандартный для смартфона нового поколения.Удивляюсь отзывам о камере))) люди не путайте телефон с цифровой камерой!!!!! Быстрый отклик экрана, ""глотает"" всё, его не напугать замороченными программами и тяжёлыми играми.Одна беда - зависает, но при эксплуатации на все 100% в режиме non-stop!)))",positive
13,"Великолепный телефон,есть абсолютно все за 10 тысяч рублей!!!а hdmi отдельный кайф можно взять с собой куда угодно и подключить к ноуту или телеку( он в комплекте)не слушайте всех подряд кто говорит лыжи отстой,я тоже честно говоря  попал под такое мнение  но друг купил я попользовался и понял что все сделано с умом.А стоит столько сколько должно стоить.",positive
14,ХТЦ сами себе копают яму.,negative
15,Взял из-за бренда. Долгое время пользуюсь Sony Ericsson. Но за 260уе хотелось бы более уверенную работу двух симкарт. Камера не удивила совершенно. У SE K850i те же 5мп были гораздо внушительнее.,neutral
